date,day_index,sand_storm_flag,dust_index,ambient_temperature_c,humidity_percent,vibration_rms_mm_s,discharge_temperature_c,discharge_pressure_bar,suction_pressure_bar,flow_rate_m3_min,bearing_oil_pressure_bar,bearing_oil_temperature_c,casing_temperature_c,dp_filter_bar,high_dp_alarm,failure,failure_mode,TTF_days,maintenance_oil_change,days_since_oil_change,health_state
2018-11-29,27,0,8.8,27.09,59.7,2.048,88.73,7.958,0.999,100.48,3.421,60.48,54.18,0.05,0,0,,408,0,26,normal
2018-11-30,28,0,11.8,26.73,49.6,1.976,86.77,7.912,1.003,99.85,3.45,60.03,54.72,0.05,0,0,,407,0,27,normal
2018-12-01,29,0,15.3,18.92,55.9,2.089,83.48,8.02,0.994,100.35,3.411,61.09,55.07,0.05,0,0,,406,0,28,normal
2018-12-02,30,0,9.8,16.32,64.4,1.879,82.63,7.986,1.001,100.52,3.464,61.49,54.06,0.05,0,0,,405,0,29,normal
2018-12-03,31,0,2.3,20.4,60.2,1.998,84.9,8.032,0.996,101.02,3.424,60.6,56.6,0.05,0,0,,404,0,30,normal
2018-12-04,32,0,13.4,19.46,68.6,1.882,86.1,8.103,1.0,99.27,3.457,60.22,54.89,0.05,0,0,,403,0,31,normal
2018-12-05,33,0,17.6,19.37,50.1,2.081,84.77,8.016,1.0,99.94,3.451,60.71,54.56,0.05,0,0,,402,0,32,normal
2018-12-06,34,0,10.5,21.64,69.1,2.046,86.67,8.054,0.996,101.28,3.49,60.52,55.04,0.05,0,0,,401,0,33,normal
2018-12-07,35,0,13.1,18.0,49.6,1.98,84.52,7.963,1.002,100.19,3.397,60.88,55.14,0.05,0,0,,400,0,34,normal
2018-12-08,36,0,0.3,19.02,55.7,2.059,84.21,8.016,1.002,99.65,3.447,62.86,55.2,0.05,0,0,,399,0,35,normal
2018-12-09,37,0,6.7,12.63,57.4,1.97,82.08,7.972,0.996,99.34,3.403,61.46,53.78,0.05,0,0,,398,0,36,normal
2018-12-10,38,0,6.5,22.77,48.2,1.977,85.04,7.987,1.006,99.53,3.434,61.25,55.52,0.05,0,0,,397,0,37,normal
2018-12-11,39,0,15.8,20.54,66.8,2.009,83.57,8.014,1.007,99.03,3.449,60.29,55.09,0.05,0,0,,396,0,38,normal
2018-12-12,40,0,18.4,12.17,46.1,2.035,82.17,7.987,1.007,100.62,3.437,60.87,54.44,0.05,0,0,,395,0,39,normal
2018-12-13,41,0,6.0,18.33,45.3,1.983,85.07,8.053,0.991,100.43,3.443,60.08,55.54,0.05,0,0,,394,0,40,normal
2018-12-14,42,0,10.4,19.64,69.9,1.954,85.5,8.025,1.002,101.0,3.447,61.4,53.38,0.05,0,0,,393,0,41,normal
2018-12-15,43,0,4.7,23.84,59.8,2.066,88.4,7.987,0.976,100.42,3.417,60.58,55.09,0.05,0,0,,392,0,42,normal
2018-12-16,44,0,5.5,20.83,46.1,1.93,84.66,8.038,1.001,98.54,3.369,61.23,54.81,0.05,0,0,,391,0,43,normal
2018-12-17,45,0,10.1,19.64,47.8,1.962,85.65,7.98,0.993,98.62,3.444,61.31,53.89,0.05,0,0,,390,0,44,normal
2018-12-18,46,0,1.0,18.46,45.0,2.081,83.24,7.955,0.978,99.28,3.402,61.98,54.87,0.05,0,0,,389,0,45,normal
2018-12-19,47,0,12.7,15.73,59.8,2.071,81.17,8.019,1.006,100.06,3.431,61.52,54.55,0.05,0,0,,388,0,46,normal
2018-12-20,48,0,16.9,17.06,63.2,1.968,83.28,8.046,1.01,99.33,3.37,62.65,55.84,0.05,0,0,,387,0,47,normal
2018-12-21,49,0,7.5,22.91,62.6,1.917,85.04,7.952,0.996,100.05,3.368,61.26,54.9,0.05,0,0,,386,0,48,normal
2018-12-22,50,0,9.1,22.64,50.4,1.96,86.21,7.999,1.005,100.01,3.388,61.77,54.74,0.05,0,0,,385,0,49,normal
2018-12-23,51,0,6.3,20.68,47.9,1.985,85.52,7.923,0.985,100.53,3.427,61.67,53.78,0.05,0,0,,384,0,50,normal
2018-12-24,52,0,6.8,15.46,49.9,1.901,82.44,8.012,1.021,99.08,3.366,62.05,53.48,0.05,0,0,,383,0,51,normal
2018-12-25,53,0,4.6,17.6,56.9,1.995,83.68,7.982,1.003,99.33,3.449,61.75,55.52,0.05,0,0,,382,0,52,normal
2018-12-26,54,0,7.7,15.48,50.1,1.893,83.39,8.011,0.999,100.29,3.426,63.79,55.31,0.05,0,0,,381,0,53,normal
2018-12-27,55,0,0.4,20.78,60.7,1.853,86.54,8.048,1.011,99.59,3.385,62.99,54.55,0.05,0,0,,380,0,54,normal
2018-12-28,56,0,0.3,17.41,65.7,2.036,84.41,8.022,1.008,100.75,3.371,62.01,55.71,0.05,0,0,,379,0,55,normal
2018-12-29,57,0,16.2,16.97,53.7,1.993,83.31,7.977,0.998,101.46,3.406,61.7,55.0,0.05,0,0,,378,0,56,normal
2018-12-30,58,0,18.1,19.25,68.2,1.987,83.31,7.938,1.001,100.28,3.405,60.31,55.82,0.05,0,0,,377,0,57,normal
2018-12-31,59,0,16.5,19.63,51.0,1.975,82.98,7.942,1.001,64.85,3.425,61.91,55.53,0.05,0,0,,376,0,58,normal
2019-01-01,60,0,14.1,16.92,45.9,1.957,82.79,7.961,1.007,99.51,3.374,62.56,55.62,0.05,0,0,,375,0,59,normal
2019-01-02,61,0,14.1,16.8,52.8,2.099,84.02,8.004,1.002,99.38,3.417,62.48,54.81,0.05,0,0,,374,0,60,normal
2019-01-03,62,0,7.4,20.61,49.2,2.062,85.67,8.024,0.996,102.1,3.366,61.61,54.84,0.05,0,0,,373,0,61,normal
2019-01-04,63,0,4.0,20.23,52.9,1.932,85.85,7.973,0.998,100.04,3.394,61.63,54.4,0.05,0,0,,372,0,62,normal
2019-01-05,64,0,10.6,15.46,54.9,1.996,82.01,7.998,1.02,100.22,3.39,61.9,55.63,0.05,0,0,,371,0,63,normal
2019-01-06,65,0,5.9,16.29,50.3,2.01,83.32,7.938,0.985,100.16,3.418,61.99,55.03,0.05,0,0,,370,0,64,normal
2019-01-07,66,0,14.9,17.73,49.9,1.965,83.27,8.003,0.998,99.35,3.386,61.92,54.6,0.05,0,0,,369,0,65,normal
2019-01-08,67,0,6.9,13.11,58.5,2.079,80.72,8.049,0.999,99.68,3.382,61.82,55.09,0.05,0,0,,368,0,66,normal
2019-01-09,68,0,16.1,23.27,46.5,2.109,87.01,7.996,0.998,98.77,3.349,60.68,55.27,0.05,0,0,,367,0,67,normal
2019-01-10,69,0,11.9,17.14,50.2,2.017,85.38,8.021,1.0,99.36,3.344,62.17,55.29,0.05,0,0,,366,0,68,normal
2019-01-11,70,0,0.2,16.43,55.0,2.031,83.93,7.937,0.993,98.92,3.381,61.92,55.28,0.05,0,0,,365,0,69,normal
2019-01-12,71,0,0.9,14.73,63.4,1.922,81.68,8.071,0.994,98.13,3.4,61.65,55.6,0.05,0,0,,364,0,70,normal
2019-01-13,72,0,4.4,19.37,47.0,2.011,85.64,8.099,1.005,102.63,3.312,62.0,54.52,0.05,0,0,,363,0,71,normal
2019-01-14,73,0,3.7,15.92,49.1,1.826,84.19,7.87,1.002,100.44,3.343,62.78,55.24,0.05,0,0,,362,0,72,normal
2019-01-15,74,0,2.6,13.79,53.5,2.035,82.71,7.949,0.99,99.25,3.332,60.4,55.73,0.05,0,0,,361,0,73,normal
2019-01-16,75,0,19.7,15.62,63.0,1.943,81.98,8.087,1.01,100.09,3.395,61.8,54.52,0.05,0,0,,360,0,74,normal
2019-01-17,76,0,15.2,18.57,50.9,2.002,84.21,8.008,1.011,101.0,3.281,61.58,55.49,0.05,0,0,,359,0,75,normal
2019-01-18,77,0,14.0,13.1,64.6,1.939,82.25,8.0,1.007,98.91,3.398,62.6,54.77,0.05,0,0,,358,0,76,normal
2019-01-19,78,0,14.1,19.55,53.8,2.01,86.16,8.002,0.998,100.27,3.401,63.23,55.15,0.05,0,0,,357,0,77,normal
2019-01-20,79,0,12.5,18.13,60.9,2.04,83.04,7.982,1.001,98.22,3.352,63.19,55.25,0.05,0,0,,356,0,78,normal
2019-01-21,80,0,13.7,12.94,50.7,1.978,81.99,7.992,1.014,101.15,3.358,62.26,54.29,0.05,0,0,,355,0,79,normal
2019-01-22,81,0,8.1,13.02,64.4,2.004,81.42,7.908,0.991,98.5,3.371,63.02,54.61,0.05,0,0,,354,0,80,normal
2019-01-23,82,0,5.9,12.65,46.5,2.01,82.25,8.062,1.012,101.01,3.383,61.86,54.06,0.05,0,0,,353,0,81,normal
2019-01-24,83,0,13.6,16.36,56.8,2.014,84.3,7.923,1.005,100.57,3.335,62.3,54.96,0.05,0,0,,352,0,82,normal
2019-01-25,84,0,18.3,16.0,46.9,1.92,84.29,7.975,1.0,99.91,3.384,62.18,55.94,0.05,0,0,,351,0,83,normal
2019-01-26,85,0,9.2,14.9,50.0,1.956,82.53,7.971,1.002,100.5,3.377,63.0,55.28,0.05,0,0,,350,0,84,normal
2019-01-27,86,0,11.7,19.23,52.4,1.914,83.86,7.987,1.011,100.64,3.354,62.75,56.28,0.05,0,0,,349,0,85,normal
2019-01-28,87,0,10.1,15.56,45.4,1.911,82.5,7.975,1.014,98.74,3.307,62.57,55.49,0.05,0,0,,348,0,86,normal
2019-01-29,88,0,6.2,16.16,47.2,2.005,84.09,8.027,1.01,99.53,3.262,61.45,54.6,0.05,0,0,,347,0,87,normal
2019-01-30,89,0,17.2,20.19,55.1,1.893,85.57,8.021,1.006,102.06,3.338,63.29,54.32,0.05,0,0,,346,0,88,normal
2019-01-31,90,0,10.3,14.22,59.4,1.986,82.71,7.986,1.001,98.47,3.299,62.97,54.15,0.05,0,0,,345,0,89,normal
2019-02-01,91,0,13.9,12.72,48.6,2.071,80.35,7.868,1.0,100.33,3.336,62.09,55.55,0.05,0,0,,344,0,90,normal
2019-02-02,92,0,4.1,19.26,47.8,1.866,85.47,7.962,1.02,100.96,3.317,62.91,54.34,0.05,0,0,,343,0,91,normal
2019-02-03,93,0,3.7,12.74,55.8,1.991,82.22,8.062,0.995,99.96,3.314,62.2,55.03,0.05,0,0,,342,0,92,normal
2019-02-04,94,0,11.2,12.26,48.7,1.946,80.85,7.926,0.998,99.38,3.276,62.31,56.06,0.05,0,0,,341,0,93,normal
2019-02-05,95,0,11.7,19.81,41.3,2.076,86.31,8.004,1.014,100.41,3.336,63.31,54.48,0.05,0,0,,340,0,94,normal
2019-02-06,96,0,17.8,21.09,51.9,2.093,84.54,7.939,0.99,100.93,3.307,63.63,54.62,0.05,0,0,,339,0,95,normal
2019-02-07,97,0,13.2,19.67,47.7,1.976,83.66,7.945,1.009,100.17,3.334,62.42,55.33,0.05,0,0,,338,0,96,normal
2019-02-08,98,0,15.2,16.31,56.3,1.953,83.22,7.997,0.997,100.49,3.292,63.91,54.68,0.05,0,0,,337,0,97,normal
2019-02-09,99,0,1.9,17.59,51.5,2.032,84.13,7.949,0.998,99.96,3.322,63.47,54.92,0.05,0,0,,336,0,98,normal
2019-02-10,100,0,16.7,23.29,55.2,2.054,86.15,8.017,1.016,101.75,3.331,64.38,56.06,0.05,0,0,,335,0,99,normal
2019-02-11,101,0,13.0,14.59,59.9,2.007,81.23,7.97,1.001,101.95,3.327,63.44,54.7,0.05,0,0,,334,0,100,normal
2019-02-12,102,0,12.7,23.44,45.5,1.94,88.05,8.091,1.01,100.47,3.286,63.29,55.31,0.05,0,0,,333,0,101,normal
2019-02-13,103,0,18.4,15.69,51.5,1.984,83.04,7.977,0.998,99.93,3.343,64.29,54.73,0.05,0,0,,332,0,102,normal
2019-02-14,104,0,5.7,16.73,43.9,2.014,83.67,7.994,0.998,99.52,3.33,63.14,55.21,0.05,0,0,,331,0,103,normal
2019-02-15,105,0,2.9,13.81,42.0,1.988,81.42,8.044,0.994,98.8,3.306,63.08,54.37,0.05,0,0,,330,0,104,normal
2019-02-16,106,0,17.3,17.94,42.9,1.904,83.99,8.014,1.002,98.94,3.331,63.04,54.3,0.05,0,0,,329,0,105,normal
2019-02-17,107,0,13.3,15.44,54.5,1.884,82.67,8.02,0.981,99.72,3.299,63.52,55.51,0.05,0,0,,328,0,106,normal
2019-02-18,108,0,9.1,14.78,48.1,1.975,83.05,7.937,0.996,102.68,3.294,63.45,54.26,0.05,0,0,,327,0,107,normal
2019-02-19,109,0,5.7,16.27,43.7,1.964,84.32,8.061,0.995,99.28,3.291,62.47,54.86,0.05,0,0,,326,0,108,normal
2019-02-20,110,0,0.0,19.58,45.0,2.015,84.53,8.034,0.999,98.82,3.323,63.53,54.57,0.05,0,0,,325,0,109,normal
2019-02-21,111,0,3.1,18.79,49.3,2.044,84.54,7.974,1.014,99.61,3.265,61.38,55.23,0.05,0,0,,324,0,110,normal
2019-02-22,112,0,16.8,12.61,51.0,1.922,80.82,7.955,0.992,99.45,3.285,63.12,55.73,0.05,0,0,,323,0,111,normal
2019-02-23,113,0,0.4,21.23,47.7,2.006,85.71,7.964,1.007,99.81,3.315,63.43,54.96,0.05,0,0,,322,0,112,normal
2019-02-24,114,0,14.8,19.76,58.9,1.952,84.08,8.052,0.989,98.72,3.304,62.7,54.93,0.05,0,0,,321,0,113,normal
2019-02-25,115,0,10.0,15.71,59.4,2.015,81.91,8.06,1.008,100.47,3.223,63.29,55.91,0.05,0,0,,320,0,114,normal
2019-02-26,116,0,3.7,24.24,45.4,1.958,85.5,8.086,0.999,98.15,3.277,62.13,55.47,0.05,0,0,,319,0,115,normal
2019-02-27,117,0,11.3,21.56,58.6,2.063,84.65,7.917,0.99,99.88,3.277,63.99,55.06,0.05,0,0,,318,0,116,normal
2019-02-28,118,0,10.6,26.24,40.6,1.913,87.82,8.023,0.996,99.85,3.264,63.92,55.08,0.05,0,0,,317,0,117,normal
2019-03-01,119,0,7.3,24.29,44.5,2.022,88.34,7.924,0.972,99.55,3.295,63.13,55.33,0.05,0,0,,316,0,118,normal
2019-03-02,120,0,10.6,21.61,53.7,1.999,86.3,7.984,1.002,100.05,3.228,63.21,56.03,0.05,0,0,,315,0,119,normal
2019-03-03,121,0,16.7,22.35,46.0,1.968,87.91,7.931,0.993,99.71,3.296,63.9,54.53,0.05,0,0,,314,0,120,normal
2019-03-04,122,0,3.4,20.43,35.8,2.008,86.64,7.921,1.004,99.74,3.258,64.34,55.82,0.05,0,0,,313,0,121,normal
2019-03-05,123,0,16.9,22.1,51.7,2.014,84.1,7.991,1.003,99.94,3.222,62.28,55.73,0.05,0,0,,312,0,122,normal
2019-03-06,124,0,14.6,23.43,54.3,2.065,87.8,7.976,1.001,99.66,3.294,62.86,55.77,0.05,0,0,,311,0,123,normal
2019-03-07,125,0,8.4,16.26,38.2,2.063,82.64,7.99,0.992,101.05,3.26,63.99,55.99,0.05,0,0,,310,0,124,normal
2019-03-08,126,0,1.0,21.16,53.5,2.004,86.59,7.996,0.998,100.03,3.239,63.39,54.59,0.05,0,0,,309,0,125,normal
2019-03-09,127,0,11.0,19.94,53.1,2.047,84.86,8.022,1.005,99.29,3.23,63.71,54.57,0.05,0,0,,308,0,126,normal
2019-03-10,128,0,6.7,20.31,44.9,2.034,84.99,7.941,1.006,100.71,3.254,62.15,54.9,0.05,0,0,,307,0,127,normal
2019-03-11,129,0,5.2,27.7,38.9,1.957,89.83,7.927,0.995,100.98,3.221,63.14,55.31,0.05,0,0,,306,0,128,normal
2019-03-12,130,0,3.1,24.57,36.6,2.03,89.05,8.011,0.997,98.17,3.274,64.65,54.21,0.05,0,0,,305,0,129,normal
2019-03-13,131,0,0.3,25.78,46.1,2.027,89.08,7.961,1.008,100.9,3.22,63.23,55.27,0.05,0,0,,304,0,130,normal
2019-03-14,132,0,13.8,19.47,50.4,2.031,82.62,8.035,1.011,100.33,3.214,63.01,54.83,0.05,0,0,,303,0,131,normal
2019-03-15,133,0,3.5,23.23,43.5,1.986,84.95,8.009,1.009,100.01,3.198,64.67,56.72,0.05,0,0,,302,0,132,normal
2019-03-16,134,0,15.8,26.18,49.0,2.059,89.82,8.013,1.007,98.86,3.231,64.8,55.73,0.05,0,0,,301,0,133,normal
2019-03-17,135,0,15.6,20.72,43.0,2.014,84.5,8.059,1.001,100.08,3.273,63.38,55.33,0.05,0,0,,300,0,134,normal
2019-03-18,136,0,3.5,23.09,41.3,1.998,84.91,8.005,0.994,101.01,3.262,64.24,54.51,0.05,0,0,,299,0,135,normal
2019-03-19,137,0,17.5,28.2,49.0,2.035,88.74,7.941,1.004,102.09,3.228,65.31,54.39,0.05,0,0,,298,0,136,normal
2019-03-20,138,0,2.1,24.25,36.7,2.059,86.05,7.936,1.02,99.98,3.246,65.7,54.5,0.05,0,0,,297,0,137,normal
2019-03-21,139,0,11.1,21.44,38.8,2.108,85.44,7.949,1.012,99.04,3.217,64.63,55.98,0.05,0,0,,296,0,138,normal
2019-03-22,140,0,6.8,27.77,42.6,1.937,89.85,7.966,0.991,99.76,3.16,64.19,54.87,0.05,0,0,,295,0,139,normal
2019-03-23,141,0,9.5,23.52,54.1,2.026,87.26,7.916,0.99,99.72,3.274,65.22,54.42,0.05,0,0,,294,0,140,normal
2019-03-24,142,0,10.8,20.82,41.9,2.006,84.26,8.04,0.992,99.56,3.212,63.68,54.87,0.05,0,0,,293,0,141,normal
2019-03-25,143,0,15.7,22.86,47.6,1.958,86.21,8.022,0.975,100.68,3.213,64.4,55.08,0.05,0,0,,292,0,142,normal
2019-03-26,144,0,8.8,29.14,40.6,1.937,88.12,7.971,0.998,100.81,3.218,65.36,54.82,0.05,0,0,,291,0,143,normal
2019-03-27,145,0,12.0,26.81,47.6,2.011,87.12,8.114,1.009,100.57,3.209,64.69,54.23,0.05,0,0,,290,0,144,normal
2019-03-28,146,0,3.3,23.88,36.6,1.974,86.6,7.993,1.003,97.5,3.194,63.97,53.57,0.05,0,0,,289,0,145,normal
2019-03-29,147,0,1.0,26.04,46.2,2.009,87.93,7.979,1.001,99.55,3.168,64.5,54.87,0.05,0,0,,288,0,146,normal
2019-03-30,148,0,7.6,22.76,54.0,1.961,86.89,8.089,0.974,99.68,3.173,64.48,55.07,0.05,0,0,,287,0,147,normal
2019-03-31,149,0,18.4,24.86,45.9,2.052,86.93,8.059,0.994,100.05,3.193,64.31,55.03,0.05,0,0,,286,0,148,normal
2019-04-01,150,0,16.7,23.88,38.4,2.017,88.05,7.982,0.997,98.93,3.207,64.67,53.67,0.05,0,0,,285,0,149,normal
2019-04-02,151,0,7.2,32.1,39.7,1.942,91.73,7.995,0.988,102.1,3.256,65.55,55.96,0.05,0,0,,284,0,150,normal
2019-04-03,152,0,14.7,25.56,41.3,1.987,87.9,7.969,1.018,98.53,3.186,66.24,53.89,0.05,0,0,,283,0,151,normal
2019-04-04,153,0,8.1,25.33,42.5,1.997,87.37,8.011,1.011,100.22,3.198,65.23,55.54,0.05,0,0,,282,0,152,normal
2019-04-05,154,0,11.1,31.94,34.9,1.922,89.4,8.01,0.985,100.09,3.172,65.89,54.57,0.05,0,0,,281,0,153,normal
2019-04-06,155,0,13.6,27.68,41.3,2.05,90.89,8.017,0.998,99.18,3.222,63.94,54.57,0.05,0,0,,280,0,154,normal
2019-04-07,156,0,18.7,28.0,49.5,2.05,88.18,8.053,0.999,100.42,3.213,64.16,55.23,0.05,0,0,,279,0,155,normal
2019-04-08,157,0,5.4,31.87,34.6,2.038,90.6,7.988,1.007,100.42,3.169,65.1,55.16,0.05,0,0,,278,0,156,normal
2019-04-09,158,0,16.2,29.11,35.0,1.981,90.78,8.021,1.003,100.14,3.169,65.21,54.32,0.05,0,0,,277,0,157,normal
2019-04-10,159,0,16.2,27.61,43.2,2.017,88.74,8.051,1.009,98.86,3.194,64.64,55.49,0.05,0,0,,276,0,158,normal
2019-04-11,160,0,3.8,28.22,46.7,2.005,89.42,8.115,1.004,100.38,3.156,66.03,54.64,0.05,0,0,,275,0,159,normal
2019-04-12,161,0,19.2,27.34,47.7,1.954,88.14,7.954,0.992,99.86,3.224,65.55,55.18,0.05,0,0,,274,0,160,normal
2019-04-13,162,0,8.8,32.06,36.9,2.001,92.77,8.001,1.002,99.44,3.144,65.56,54.07,0.05,0,0,,273,0,161,normal
2019-04-14,163,0,6.4,23.03,45.0,1.986,85.8,7.977,0.998,99.63,3.172,65.42,54.19,0.05,0,0,,272,0,162,normal
2019-04-15,164,0,7.5,29.56,40.2,2.073,89.18,7.977,0.994,101.09,3.171,65.46,56.14,0.05,0,0,,271,0,163,normal
2019-04-16,165,0,5.0,27.97,49.7,2.805,89.99,7.951,1.013,100.66,3.173,65.08,54.67,0.05,0,0,,270,0,164,normal
2019-04-17,166,0,7.5,26.51,35.8,1.896,87.7,7.984,0.99,98.83,3.165,64.89,55.28,0.05,0,0,,269,0,165,normal
2019-04-18,167,0,4.9,28.54,31.6,2.065,88.42,8.078,1.001,99.36,3.175,64.84,54.47,0.05,0,0,,268,0,166,normal
2019-04-19,168,0,14.8,23.61,40.1,1.95,86.68,8.005,0.987,98.21,3.14,65.3,54.77,0.05,0,0,,267,0,167,normal
2019-04-20,169,0,12.6,27.87,45.5,2.009,87.53,8.014,1.009,98.75,3.154,64.77,54.34,0.05,0,0,,266,0,168,normal
2019-04-21,170,0,12.9,31.96,34.7,2.08,91.47,7.977,0.999,98.57,3.195,65.65,54.69,0.05,0,0,,265,0,169,normal
2019-04-22,171,0,7.7,26.9,42.2,1.992,89.11,7.947,1.0,100.47,3.152,64.72,54.87,0.05,0,0,,264,0,170,normal
2019-04-23,172,0,7.4,25.58,48.3,1.963,87.96,8.012,0.985,99.8,3.187,65.96,55.18,0.05,0,0,,263,0,171,normal
2019-04-24,173,0,6.8,28.43,45.2,2.042,90.0,8.06,0.994,100.16,3.149,65.97,55.34,0.05,0,0,,262,0,172,normal
2019-04-25,174,0,12.7,29.86,45.0,2.029,89.84,8.011,1.01,99.16,3.112,64.67,54.1,0.05,0,0,,261,0,173,normal
2019-04-26,175,0,2.5,33.57,35.0,2.011,93.3,8.009,1.012,100.47,3.116,65.75,54.57,0.05,0,0,,260,0,174,normal
2019-04-27,176,0,6.6,29.98,47.9,2.019,90.42,7.88,0.996,100.91,3.132,66.11,55.32,0.05,0,0,,259,0,175,normal
2019-04-28,177,0,11.2,26.26,30.8,1.969,86.44,8.029,0.999,100.33,3.174,65.57,55.1,0.05,0,0,,258,0,176,normal
2019-04-29,178,0,7.6,28.58,42.0,2.017,88.24,8.01,1.005,101.45,3.157,65.37,55.34,0.05,0,0,,257,0,177,normal
2019-04-30,179,0,8.7,29.66,33.7,1.973,89.83,8.022,0.983,100.55,3.202,64.81,54.88,0.05,0,0,,256,0,178,normal
2019-05-01,180,0,14.8,36.46,35.2,1.957,92.6,8.024,0.986,100.59,3.143,65.35,53.38,0.05,0,0,,255,0,179,normal
2019-05-02,181,1,93.4,31.05,35.7,2.05,93.94,7.974,0.974,96.94,3.461,61.42,54.67,0.089,0,0,,254,1,0,normal
2019-05-03,182,0,15.2,39.53,44.1,1.952,93.54,7.998,1.009,102.2,3.524,59.22,54.54,0.05,0,0,,253,0,1,normal
2019-05-04,183,0,18.7,38.11,36.6,1.918,94.8,8.073,1.004,100.96,3.502,59.35,54.86,0.05,0,0,,252,0,2,normal
2019-05-05,184,0,3.7,34.84,48.5,1.992,92.31,7.934,0.999,99.75,3.511,61.22,54.3,0.05,0,0,,251,0,3,normal
2019-05-06,185,0,16.3,32.91,35.7,2.002,91.34,8.057,0.996,98.9,3.494,60.72,55.85,0.05,0,0,,250,0,4,normal
2019-05-07,186,1,75.5,34.66,49.8,2.036,93.13,7.975,1.0,98.08,3.51,60.63,54.59,0.071,0,0,,249,0,5,normal
