day_index,sand_storm_flag,ambient_temperature_c,humidity_percent,vibration_rms_mm_s,discharge_temperature_c,discharge_pressure_bar,suction_pressure_bar,flow_rate_m3_min,bearing_oil_pressure_bar,bearing_oil_temperature_c,casing_temperature_c,dp_filter_bar,high_dp_alarm,failure,TTF_days,maintenance_oil_change,days_since_oil_change,health_state
14,0,25.51,59.1,1.947,88.24,7.991,1.001,100.53,3.456,60.18,54.96,0.05,0,0,345.0,0,13,normal
15,0,29.59,43.8,2.061,90.1,7.972,0.996,99.63,3.47,59.94,54.58,0.05,0,0,344.0,0,14,normal
16,0,23.12,55.6,1.932,83.97,7.91,1.005,100.76,3.435,60.29,54.65,0.05,0,0,343.0,0,15,normal
17,0,24.95,42.7,2.029,86.6,8.058,0.991,97.7,3.467,59.64,54.73,0.05,0,0,342.0,0,16,normal
18,0,18.17,50.9,2.108,83.33,8.015,1.013,101.56,3.488,60.09,55.02,0.05,0,0,341.0,0,17,normal
19,0,23.9,41.8,2.009,86.5,7.951,0.987,100.68,3.503,59.98,55.69,0.05,0,0,340.0,0,18,normal
20,0,23.69,64.2,1.929,89.01,7.987,1.013,100.56,3.452,61.62,55.27,0.05,0,0,339.0,0,19,normal
21,0,29.59,60.3,2.025,90.37,7.97,0.987,98.26,3.454,60.99,53.83,0.05,0,0,338.0,0,20,normal
22,0,25.44,60.4,1.992,88.9,8.08,1.005,100.73,3.451,60.83,55.4,0.05,0,0,337.0,0,21,normal
23,0,26.2,60.4,1.967,89.91,8.115,1.011,98.1,3.478,61.01,55.05,0.05,0,0,336.0,0,22,normal
24,0,26.87,46.2,1.99,88.88,8.029,1.017,100.39,3.437,60.09,54.28,0.05,0,0,335.0,0,23,normal
25,0,22.65,64.0,2.032,84.62,7.959,0.979,100.59,3.427,60.4,55.2,0.05,0,0,334.0,0,24,normal
26,0,29.37,42.3,1.972,90.28,8.1,1.021,101.21,3.496,60.88,55.61,0.05,0,0,333.0,0,25,normal
27,0,27.09,59.7,2.048,88.73,7.958,0.999,100.48,3.421,60.48,54.18,0.05,0,0,332.0,0,26,normal
28,0,26.73,49.6,1.976,86.77,7.912,1.003,99.85,3.45,60.03,54.72,0.05,0,0,331.0,0,27,normal
29,0,18.92,55.9,2.089,83.48,8.02,0.994,100.35,3.411,61.09,55.07,0.05,0,0,330.0,0,28,normal
30,0,16.32,64.4,1.879,82.63,7.986,1.001,100.52,3.464,61.49,54.06,0.05,0,0,329.0,0,29,normal
31,0,20.4,60.2,1.998,84.9,8.032,0.996,101.02,3.424,60.6,56.6,0.05,0,0,328.0,0,30,normal
32,0,19.46,68.6,1.882,86.1,8.103,1.0,99.27,3.457,60.22,54.89,0.05,0,0,327.0,0,31,normal
33,0,19.37,50.1,2.081,84.77,8.016,1.0,99.94,3.451,60.71,54.56,0.05,0,0,326.0,0,32,normal
34,0,21.64,69.1,2.046,86.67,8.054,0.996,101.28,3.49,60.52,55.04,0.05,0,0,325.0,0,33,normal
35,0,18.0,49.6,1.98,84.52,7.963,1.002,100.19,3.397,60.88,55.14,0.05,0,0,324.0,0,34,normal
36,0,19.02,55.7,2.059,84.21,8.016,1.002,99.65,3.447,62.86,55.2,0.05,0,0,323.0,0,35,normal
37,0,12.63,57.4,1.97,82.08,7.972,0.996,99.34,3.403,61.46,53.78,0.05,0,0,322.0,0,36,normal
38,0,22.77,48.2,1.977,85.04,7.987,1.006,99.53,3.434,61.25,55.52,0.05,0,0,321.0,0,37,normal
39,0,20.54,66.8,2.009,83.57,8.014,1.007,99.03,3.449,60.29,55.09,0.05,0,0,320.0,0,38,normal
40,0,12.17,46.1,2.035,82.17,7.987,1.007,100.62,3.437,60.87,54.44,0.05,0,0,319.0,0,39,normal
41,0,18.33,45.3,1.983,85.07,8.053,0.991,100.43,3.443,60.08,55.54,0.05,0,0,318.0,0,40,normal
42,0,19.64,69.9,1.954,85.5,8.025,1.002,101.0,3.447,61.4,53.38,0.05,0,0,317.0,0,41,normal
43,0,23.84,59.8,2.066,88.4,7.987,0.976,100.42,3.417,60.58,55.09,0.05,0,0,316.0,0,42,normal
44,0,20.83,46.1,1.93,84.66,8.038,1.001,98.54,3.369,61.23,54.81,0.05,0,0,315.0,0,43,normal
45,0,19.64,47.8,1.962,85.65,7.98,0.993,98.62,3.444,61.31,53.89,0.05,0,0,314.0,0,44,normal
46,0,18.46,45.0,2.081,83.24,7.955,0.978,99.28,3.402,61.98,54.87,0.05,0,0,313.0,0,45,normal
47,0,15.73,59.8,2.071,81.17,8.019,1.006,100.06,3.431,61.52,54.55,0.05,0,0,312.0,0,46,normal
48,0,17.06,63.2,1.968,83.28,8.046,1.01,99.33,3.37,62.65,55.84,0.05,0,0,311.0,0,47,normal
49,0,22.91,62.6,1.917,85.04,7.952,0.996,100.05,3.368,61.26,54.9,0.05,0,0,310.0,0,48,normal
50,0,22.64,50.4,1.96,86.21,7.999,1.005,100.01,3.388,61.77,54.74,0.05,0,0,309.0,0,49,normal
51,0,20.68,47.9,1.985,85.52,7.923,0.985,100.53,3.427,61.67,53.78,0.05,0,0,308.0,0,50,normal
52,0,15.46,49.9,1.901,82.44,8.012,1.021,99.08,3.366,62.05,53.48,0.05,0,0,307.0,0,51,normal
53,0,17.6,56.9,1.995,83.68,7.982,1.003,99.33,3.449,61.75,55.52,0.05,0,0,306.0,0,52,normal
54,0,15.48,50.1,1.893,83.39,8.011,0.999,100.29,3.426,63.79,55.31,0.05,0,0,305.0,0,53,normal
55,0,20.78,60.7,1.853,86.54,8.048,1.011,99.59,3.385,62.99,54.55,0.05,0,0,304.0,0,54,normal
56,0,17.41,65.7,2.036,84.41,8.022,1.008,100.75,3.371,62.01,55.71,0.05,0,0,303.0,0,55,normal
57,0,16.97,53.7,1.993,83.31,7.977,0.998,101.46,3.406,61.7,55.0,0.05,0,0,302.0,0,56,normal
58,0,19.25,68.2,1.987,83.31,7.938,1.001,100.28,3.405,60.31,55.82,0.05,0,0,301.0,0,57,normal
59,0,19.63,51.0,1.975,82.98,7.942,1.001,64.85,3.425,61.91,55.53,0.05,0,0,300.0,0,58,normal
60,0,16.92,45.9,1.957,82.79,7.961,1.007,99.51,3.374,62.56,55.62,0.05,0,0,299.0,0,59,normal
61,0,16.8,52.8,2.099,84.02,8.004,1.002,99.38,3.417,62.48,54.81,0.05,0,0,298.0,0,60,normal
62,0,20.61,49.2,2.062,85.67,8.024,0.996,102.1,3.366,61.61,54.84,0.05,0,0,297.0,0,61,normal
63,0,20.23,52.9,1.932,85.85,7.973,0.998,100.04,3.394,61.63,54.4,0.05,0,0,296.0,0,62,normal
64,0,15.46,54.9,1.996,82.01,7.998,1.02,100.22,3.39,61.9,55.63,0.05,0,0,295.0,0,63,normal
65,0,16.29,50.3,2.01,83.32,7.938,0.985,100.16,3.418,61.99,55.03,0.05,0,0,294.0,0,64,normal
66,0,17.73,49.9,1.965,83.27,8.003,0.998,99.35,3.386,61.92,54.6,0.05,0,0,293.0,0,65,normal
67,0,13.11,58.5,2.079,80.72,8.049,0.999,99.68,3.382,61.82,55.09,0.05,0,0,292.0,0,66,normal
68,0,23.27,46.5,2.109,87.01,7.996,0.998,98.77,3.349,60.68,55.27,0.05,0,0,291.0,0,67,normal
69,0,17.14,50.2,2.017,85.38,8.021,1.0,99.36,3.344,62.17,55.29,0.05,0,0,290.0,0,68,normal
70,0,16.43,55.0,2.031,83.93,7.937,0.993,98.92,3.381,61.92,55.28,0.05,0,0,289.0,0,69,normal
71,0,14.73,63.4,1.922,81.68,8.071,0.994,98.13,3.4,61.65,55.6,0.05,0,0,288.0,0,70,normal
72,0,19.37,47.0,2.011,85.64,8.099,1.005,102.63,3.312,62.0,54.52,0.05,0,0,287.0,0,71,normal
73,0,15.92,49.1,1.826,84.19,7.87,1.002,100.44,3.343,62.78,55.24,0.05,0,0,286.0,0,72,normal
74,0,13.79,53.5,2.035,82.71,7.949,0.99,99.25,3.332,60.4,55.73,0.05,0,0,285.0,0,73,normal
75,0,15.62,63.0,1.943,81.98,8.087,1.01,100.09,3.395,61.8,54.52,0.05,0,0,284.0,0,74,normal
76,0,18.57,50.9,2.002,84.21,8.008,1.011,101.0,3.281,61.58,55.49,0.05,0,0,283.0,0,75,normal
77,0,13.1,64.6,1.939,82.25,8.0,1.007,98.91,3.398,62.6,54.77,0.05,0,0,282.0,0,76,normal
78,0,19.55,53.8,2.01,86.16,8.002,0.998,100.27,3.401,63.23,55.15,0.05,0,0,281.0,0,77,normal
79,0,18.13,60.9,2.04,83.04,7.982,1.001,98.22,3.352,63.19,55.25,0.05,0,0,280.0,0,78,normal
80,0,12.94,50.7,1.978,81.99,7.992,1.014,101.15,3.358,62.26,54.29,0.05,0,0,279.0,0,79,normal
81,0,13.02,64.4,2.004,81.42,7.908,0.991,98.5,3.371,63.02,54.61,0.05,0,0,278.0,0,80,normal
82,0,12.65,46.5,2.01,82.25,8.062,1.012,101.01,3.383,61.86,54.06,0.05,0,0,277.0,0,81,normal
83,0,16.36,56.8,2.014,84.3,7.923,1.005,100.57,3.335,62.3,54.96,0.05,0,0,276.0,0,82,normal
84,0,16.0,46.9,1.92,84.29,7.975,1.0,99.91,3.384,62.18,55.94,0.05,0,0,275.0,0,83,normal
85,0,14.9,50.0,1.956,82.53,7.971,1.002,100.5,3.377,63.0,55.28,0.05,0,0,274.0,0,84,normal
86,0,19.23,52.4,1.914,83.86,7.987,1.011,100.64,3.354,62.75,56.28,0.05,0,0,273.0,0,85,normal
87,0,15.56,45.4,1.911,82.5,7.975,1.014,98.74,3.307,62.57,55.49,0.05,0,0,272.0,0,86,normal
88,0,16.16,47.2,2.005,84.09,8.027,1.01,99.53,3.262,61.45,54.6,0.05,0,0,271.0,0,87,normal
89,0,20.19,55.1,1.893,85.57,8.021,1.006,102.06,3.338,63.29,54.32,0.05,0,0,270.0,0,88,normal
90,0,14.22,59.4,1.986,82.71,7.986,1.001,98.47,3.299,62.97,54.15,0.05,0,0,269.0,0,89,normal
91,0,12.72,48.6,2.071,80.35,7.868,1.0,100.33,3.336,62.09,55.55,0.05,0,0,268.0,0,90,normal
92,0,19.26,47.8,1.866,85.47,7.962,1.02,100.96,3.317,62.91,54.34,0.05,0,0,267.0,0,91,normal
93,0,12.74,55.8,1.991,82.22,8.062,0.995,99.96,3.314,62.2,55.03,0.05,0,0,266.0,0,92,normal
94,0,12.26,48.7,1.946,80.85,7.926,0.998,99.38,3.276,62.31,56.06,0.05,0,0,265.0,0,93,normal
95,0,19.81,41.3,2.076,86.31,8.004,1.014,100.41,3.336,63.31,54.48,0.05,0,0,264.0,0,94,normal
96,0,21.09,51.9,2.093,84.54,7.939,0.99,100.93,3.307,63.63,54.62,0.05,0,0,263.0,0,95,normal
97,0,19.67,47.7,1.976,83.66,7.945,1.009,100.17,3.334,62.42,55.33,0.05,0,0,262.0,0,96,normal
98,0,16.31,56.3,1.953,83.22,7.997,0.997,100.49,3.292,63.91,54.68,0.05,0,0,261.0,0,97,normal
99,0,17.59,51.5,2.032,84.13,7.949,0.998,99.96,3.322,63.47,54.92,0.05,0,0,260.0,0,98,normal
100,0,23.29,55.2,2.054,86.15,8.017,1.016,101.75,3.331,64.38,56.06,0.05,0,0,259.0,0,99,normal
101,0,14.59,59.9,2.007,81.23,7.97,1.001,101.95,3.327,63.44,54.7,0.05,0,0,258.0,0,100,normal
102,0,23.44,45.5,1.94,88.05,8.091,1.01,100.47,3.286,63.29,55.31,0.05,0,0,257.0,0,101,normal
103,0,15.69,51.5,1.984,83.04,7.977,0.998,99.93,3.343,64.29,54.73,0.05,0,0,256.0,0,102,normal
104,0,16.73,43.9,2.014,83.67,7.994,0.998,99.52,3.33,63.14,55.21,0.05,0,0,255.0,0,103,normal
105,0,13.81,42.0,1.988,81.42,8.044,0.994,98.8,3.306,63.08,54.37,0.05,0,0,254.0,0,104,normal
106,0,17.94,42.9,1.904,83.99,8.014,1.002,98.94,3.331,63.04,54.3,0.05,0,0,253.0,0,105,normal
107,0,15.44,54.5,1.884,82.67,8.02,0.981,99.72,3.299,63.52,55.51,0.05,0,0,252.0,0,106,normal
108,0,14.78,48.1,1.975,83.05,7.937,0.996,102.68,3.294,63.45,54.26,0.05,0,0,251.0,0,107,normal
109,0,16.27,43.7,1.964,84.32,8.061,0.995,99.28,3.291,62.47,54.86,0.05,0,0,250.0,0,108,normal
110,0,19.58,45.0,2.015,84.53,8.034,0.999,98.82,3.323,63.53,54.57,0.05,0,0,249.0,0,109,normal
111,0,18.79,49.3,2.044,84.54,7.974,1.014,99.61,3.265,61.38,55.23,0.05,0,0,248.0,0,110,normal
112,0,12.61,51.0,1.922,80.82,7.955,0.992,99.45,3.285,63.12,55.73,0.05,0,0,247.0,0,111,normal
113,0,21.23,47.7,2.006,85.71,7.964,1.007,99.81,3.315,63.43,54.96,0.05,0,0,246.0,0,112,normal
114,0,19.76,58.9,1.952,84.08,8.052,0.989,98.72,3.304,62.7,54.93,0.05,0,0,245.0,0,113,normal
115,0,15.71,59.4,2.015,81.91,8.06,1.008,100.47,3.223,63.29,55.91,0.05,0,0,244.0,0,114,normal
116,0,24.24,45.4,1.958,85.5,8.086,0.999,98.15,3.277,62.13,55.47,0.05,0,0,243.0,0,115,normal
117,0,21.56,58.6,2.063,84.65,7.917,0.99,99.88,3.277,63.99,55.06,0.05,0,0,242.0,0,116,normal
118,0,26.24,40.6,1.913,87.82,8.023,0.996,99.85,3.264,63.92,55.08,0.05,0,0,241.0,0,117,normal
119,0,24.29,44.5,2.022,88.34,7.924,0.972,99.55,3.295,63.13,55.33,0.05,0,0,240.0,0,118,normal
120,0,21.61,53.7,1.999,86.3,7.984,1.002,100.05,3.228,63.21,56.03,0.05,0,0,239.0,0,119,normal
121,0,22.35,46.0,1.968,87.91,7.931,0.993,99.71,3.296,63.9,54.53,0.05,0,0,238.0,0,120,normal
122,0,20.43,35.8,2.008,86.64,7.921,1.004,99.74,3.258,64.34,55.82,0.05,0,0,237.0,0,121,normal
123,0,22.1,51.7,2.014,84.1,7.991,1.003,99.94,3.222,62.28,55.73,0.05,0,0,236.0,0,122,normal
124,0,23.43,54.3,2.065,87.8,7.976,1.001,99.66,3.294,62.86,55.77,0.05,0,0,235.0,0,123,normal
125,0,16.26,38.2,2.063,82.64,7.99,0.992,101.05,3.26,63.99,55.99,0.05,0,0,234.0,0,124,normal
126,0,21.16,53.5,2.004,86.59,7.996,0.998,100.03,3.239,63.39,54.59,0.05,0,0,233.0,0,125,normal
127,0,19.94,53.1,2.047,84.86,8.022,1.005,99.29,3.23,63.71,54.57,0.05,0,0,232.0,0,126,normal
128,0,20.31,44.9,2.034,84.99,7.941,1.006,100.71,3.254,62.15,54.9,0.05,0,0,231.0,0,127,normal
129,0,27.7,38.9,1.957,89.83,7.927,0.995,100.98,3.221,63.14,55.31,0.05,0,0,230.0,0,128,normal
130,0,24.57,36.6,2.03,89.05,8.011,0.997,98.17,3.274,64.65,54.21,0.05,0,0,229.0,0,129,normal
131,0,25.78,46.1,2.027,89.08,7.961,1.008,100.9,3.22,63.23,55.27,0.05,0,0,228.0,0,130,normal
132,0,19.47,50.4,2.031,82.62,8.035,1.011,100.33,3.214,63.01,54.83,0.05,0,0,227.0,0,131,normal
133,0,23.23,43.5,1.986,84.95,8.009,1.009,100.01,3.198,64.67,56.72,0.05,0,0,226.0,0,132,normal
134,0,26.18,49.0,2.059,89.82,8.013,1.007,98.86,3.231,64.8,55.73,0.05,0,0,225.0,0,133,normal
135,0,20.72,43.0,2.014,84.5,8.059,1.001,100.08,3.273,63.38,55.33,0.05,0,0,224.0,0,134,normal
136,0,23.09,41.3,1.998,84.91,8.005,0.994,101.01,3.262,64.24,54.51,0.05,0,0,223.0,0,135,normal
137,0,28.2,49.0,2.035,88.74,7.941,1.004,102.09,3.228,65.31,54.39,0.05,0,0,222.0,0,136,normal
138,0,24.25,36.7,2.059,86.05,7.936,1.02,99.98,3.246,65.7,54.5,0.05,0,0,221.0,0,137,normal
139,0,21.44,38.8,2.108,85.44,7.949,1.012,99.04,3.217,64.63,55.98,0.05,0,0,220.0,0,138,normal
140,0,27.77,42.6,1.937,89.85,7.966,0.991,99.76,3.16,64.19,54.87,0.05,0,0,219.0,0,139,normal
141,0,23.52,54.1,2.026,87.26,7.916,0.99,99.72,3.274,65.22,54.42,0.05,0,0,218.0,0,140,normal
142,0,20.82,41.9,2.006,84.26,8.04,0.992,99.56,3.212,63.68,54.87,0.05,0,0,217.0,0,141,normal
143,0,22.86,47.6,1.958,86.21,8.022,0.975,100.68,3.213,64.4,55.08,0.05,0,0,216.0,0,142,normal
144,0,29.14,40.6,1.937,88.12,7.971,0.998,100.81,3.218,65.36,54.82,0.05,0,0,215.0,0,143,normal
145,0,26.81,47.6,2.011,87.12,8.114,1.009,100.57,3.209,64.69,54.23,0.05,0,0,214.0,0,144,normal
146,0,23.88,36.6,1.974,86.6,7.993,1.003,97.5,3.194,63.97,53.57,0.05,0,0,213.0,0,145,normal
147,0,26.04,46.2,2.009,87.93,7.979,1.001,99.55,3.168,64.5,54.87,0.05,0,0,212.0,0,146,normal
148,0,22.76,54.0,1.961,86.89,8.089,0.974,99.68,3.173,64.48,55.07,0.05,0,0,211.0,0,147,normal
149,0,24.86,45.9,2.052,86.93,8.059,0.994,100.05,3.193,64.31,55.03,0.05,0,0,210.0,0,148,normal
150,0,23.88,38.4,2.017,88.05,7.982,0.997,98.93,3.207,64.67,53.67,0.05,0,0,209.0,0,149,normal
151,0,32.1,39.7,1.942,91.73,7.995,0.988,102.1,3.256,65.55,55.96,0.05,0,0,208.0,0,150,normal
152,0,25.56,41.3,1.987,87.9,7.969,1.018,98.53,3.186,66.24,53.89,0.05,0,0,207.0,0,151,normal
153,0,25.33,42.5,1.997,87.37,8.011,1.011,100.22,3.198,65.23,55.54,0.05,0,0,206.0,0,152,normal
154,0,31.94,34.9,1.922,89.4,8.01,0.985,100.09,3.172,65.89,54.57,0.05,0,0,205.0,0,153,normal
155,0,27.68,41.3,2.05,90.89,8.017,0.998,99.18,3.222,63.94,54.57,0.05,0,0,204.0,0,154,normal
156,0,28.0,49.5,2.05,88.18,8.053,0.999,100.42,3.213,64.16,55.23,0.05,0,0,203.0,0,155,normal
157,0,31.87,34.6,2.038,90.6,7.988,1.007,100.42,3.169,65.1,55.16,0.05,0,0,202.0,0,156,normal
158,0,29.11,35.0,1.981,90.78,8.021,1.003,100.14,3.169,65.21,54.32,0.05,0,0,201.0,0,157,normal
159,0,27.61,43.2,2.017,88.74,8.051,1.009,98.86,3.194,64.64,55.49,0.05,0,0,200.0,0,158,normal
160,0,28.22,46.7,2.005,89.42,8.115,1.004,100.38,3.156,66.03,54.64,0.05,0,0,199.0,0,159,normal
161,0,27.34,47.7,1.954,88.14,7.954,0.992,99.86,3.224,65.55,55.18,0.05,0,0,198.0,0,160,normal
162,0,32.06,36.9,2.001,92.77,8.001,1.002,99.44,3.144,65.56,54.07,0.05,0,0,197.0,0,161,normal
163,0,23.03,45.0,1.986,85.8,7.977,0.998,99.63,3.172,65.42,54.19,0.05,0,0,196.0,0,162,normal
164,0,29.56,40.2,2.073,89.18,7.977,0.994,101.09,3.171,65.46,56.14,0.05,0,0,195.0,0,163,normal
165,0,27.97,49.7,2.805,89.99,7.951,1.013,100.66,3.173,65.08,54.67,0.05,0,0,194.0,0,164,normal
166,0,26.51,35.8,1.896,87.7,7.984,0.99,98.83,3.165,64.89,55.28,0.05,0,0,193.0,0,165,normal
167,0,28.54,31.6,2.065,88.42,8.078,1.001,99.36,3.175,64.84,54.47,0.05,0,0,192.0,0,166,normal
168,0,23.61,40.1,1.95,86.68,8.005,0.987,98.21,3.14,65.3,54.77,0.05,0,0,191.0,0,167,normal
169,0,27.87,45.5,2.009,87.53,8.014,1.009,98.75,3.154,64.77,54.34,0.05,0,0,190.0,0,168,normal
170,0,31.96,34.7,2.08,91.47,7.977,0.999,98.57,3.195,65.65,54.69,0.05,0,0,189.0,0,169,normal
171,0,26.9,42.2,1.992,89.11,7.947,1.0,100.47,3.152,64.72,54.87,0.05,0,0,188.0,0,170,normal
172,0,25.58,48.3,1.963,87.96,8.012,0.985,99.8,3.187,65.96,55.18,0.05,0,0,187.0,0,171,normal
173,0,28.43,45.2,2.042,90.0,8.06,0.994,100.16,3.149,65.97,55.34,0.05,0,0,186.0,0,172,normal
174,0,29.86,45.0,2.029,89.84,8.011,1.01,99.16,3.112,64.67,54.1,0.05,0,0,185.0,0,173,normal
175,0,33.57,35.0,2.011,93.3,8.009,1.012,100.47,3.116,65.75,54.57,0.05,0,0,184.0,0,174,normal
176,0,29.98,47.9,2.019,90.42,7.88,0.996,100.91,3.132,66.11,55.32,0.05,0,0,183.0,0,175,normal
177,0,26.26,30.8,1.969,86.44,8.029,0.999,100.33,3.174,65.57,55.1,0.05,0,0,182.0,0,176,normal
178,0,28.58,42.0,2.017,88.24,8.01,1.005,101.45,3.157,65.37,55.34,0.05,0,0,181.0,0,177,normal
179,0,29.66,33.7,1.973,89.83,8.022,0.983,100.55,3.202,64.81,54.88,0.05,0,0,180.0,0,178,normal
180,0,36.46,35.2,1.957,92.6,8.024,0.986,100.59,3.143,65.35,53.38,0.05,0,0,179.0,0,179,normal
181,1,31.05,35.7,2.05,93.94,7.974,0.974,96.94,3.461,61.42,54.67,0.089,0,0,178.0,1,0,normal
182,0,39.53,44.1,1.952,93.54,7.998,1.009,102.2,3.524,59.22,54.54,0.05,0,0,177.0,0,1,normal
183,0,38.11,36.6,1.918,94.8,8.073,1.004,100.96,3.502,59.35,54.86,0.05,0,0,176.0,0,2,normal
184,0,34.84,48.5,1.992,92.31,7.934,0.999,99.75,3.511,61.22,54.3,0.05,0,0,175.0,0,3,normal
185,0,32.91,35.7,2.002,91.34,8.057,0.996,98.9,3.494,60.72,55.85,0.05,0,0,174.0,0,4,normal
186,1,34.66,49.8,2.036,93.13,7.975,1.0,98.08,3.51,60.63,54.59,0.071,0,0,173.0,0,5,normal
187,0,36.87,38.0,2.01,93.59,8.007,0.974,99.72,3.468,61.37,55.06,0.05,0,0,172.0,0,6,normal
188,0,33.87,52.3,2.019,91.19,8.012,0.999,101.13,3.471,60.14,55.05,0.05,0,0,171.0,0,7,normal
189,0,34.04,40.8,2.024,91.42,7.98,0.993,99.85,3.466,59.57,55.9,0.05,0,0,170.0,0,8,normal
190,0,32.54,52.8,2.014,90.55,7.971,0.995,100.36,3.457,59.91,56.41,0.05,0,0,169.0,0,9,normal
191,0,37.85,44.5,1.879,92.18,8.034,1.002,100.01,3.502,60.09,55.34,0.05,0,0,168.0,0,10,normal
192,1,32.89,55.0,2.128,92.48,7.944,0.992,98.2,3.437,58.92,55.48,0.089,0,0,167.0,0,11,normal
193,0,39.97,43.1,2.114,95.26,7.931,1.005,101.87,3.511,60.36,55.25,0.05,0,0,166.0,0,12,normal
194,0,34.03,43.6,2.018,92.05,7.973,0.992,99.28,3.506,61.35,53.97,0.05,0,0,165.0,0,13,normal
195,0,37.17,46.7,2.01,93.53,8.05,0.997,100.76,3.445,60.36,54.82,0.05,0,0,164.0,0,14,normal
196,0,35.48,36.0,1.995,92.79,7.971,0.987,97.88,3.44,59.05,55.17,0.05,0,0,163.0,0,15,normal
197,0,34.44,49.8,1.967,91.23,8.06,0.985,98.94,3.462,59.44,55.08,0.05,0,0,162.0,0,16,normal
198,0,31.62,54.5,1.943,89.77,8.002,1.001,100.11,3.512,59.89,55.84,0.05,0,0,161.0,0,17,normal
199,0,37.14,41.1,2.038,94.04,8.034,0.988,100.75,3.452,61.73,55.12,0.05,0,0,160.0,0,18,normal
200,0,32.06,46.4,1.902,90.92,7.933,0.988,99.15,3.463,60.51,54.34,0.05,0,0,159.0,0,19,normal
201,0,32.77,47.9,2.014,89.64,7.974,1.0,99.33,3.523,60.18,55.13,0.05,0,0,158.0,0,20,normal
202,0,32.36,37.9,1.952,90.56,8.018,1.004,101.11,3.485,60.57,54.76,0.05,0,0,157.0,0,21,normal
203,0,31.29,47.8,2.047,89.77,8.054,1.009,100.49,3.427,60.03,55.64,0.05,0,0,156.0,0,22,normal
204,0,35.05,51.5,1.995,92.57,7.997,0.986,101.04,3.477,60.25,54.55,0.05,0,0,155.0,0,23,normal
205,0,31.03,41.3,2.046,89.96,7.911,0.978,100.23,3.438,60.79,54.66,0.05,0,0,154.0,0,24,normal
206,0,36.09,37.0,1.989,93.38,7.899,1.002,99.68,3.468,61.58,54.24,0.05,0,0,153.0,0,25,normal
207,0,34.29,51.4,1.97,91.56,8.059,1.018,100.84,3.468,59.69,55.7,0.05,0,0,152.0,0,26,normal
208,0,30.53,38.7,2.093,88.9,8.049,1.006,100.45,3.467,61.68,55.54,0.05,0,0,151.0,0,27,normal
209,0,32.4,44.9,1.967,90.61,8.044,1.0,100.4,3.427,61.13,54.43,0.05,0,0,150.0,0,28,normal
210,0,32.62,54.7,2.043,90.57,7.991,1.005,99.71,3.451,59.5,55.18,0.05,0,0,149.0,0,29,normal
211,1,35.22,46.1,2.061,94.49,7.979,0.99,98.31,3.395,61.9,54.46,0.071,0,0,148.0,0,30,normal
212,0,41.22,53.8,2.037,97.56,7.985,0.998,100.77,3.445,60.48,54.38,0.05,0,0,147.0,0,31,normal
213,1,39.11,45.1,2.096,97.03,7.952,0.994,98.11,3.447,61.73,54.14,0.088,0,0,146.0,0,32,normal
214,0,37.09,59.3,1.98,94.71,7.958,0.997,99.5,3.419,61.21,54.73,0.05,0,0,145.0,0,33,normal
215,0,36.98,41.1,1.991,93.03,7.991,1.012,101.02,3.456,61.02,55.55,0.05,0,0,144.0,0,34,normal
216,0,34.76,56.3,2.046,91.71,7.926,0.988,101.83,3.482,61.21,54.56,0.05,0,0,143.0,0,35,normal
